battery_id,cycle,chI,chV,chT,disI,disV,disT,BCt,SOH,RUL,Capacity_initial,R_internal_raw,R_internal,R_internal_smooth
B5,1,1.4401469105335598,4.254681794931815,23.988732759361305,1.894406780423648,3.2735225424933536,32.9808341919489,1.986195795996793,99.30978979983963,219,1.986195795996793,1.0,1.0,1.0
B5,2,1.4165945775339113,4.159824804449164,25.665347317603665,1.829949497063828,4.038740624421725,32.25792017891891,1.986239707487209,99.31198537436046,218,1.986195795996793,0.9999778921495476,0.9999778921495476,0.9999889460747737
B5,3,1.420271538173982,4.276322905918238,25.407910461384983,1.9421053549594205,3.214432808014634,35.134800643918496,1.9842521628299412,99.21260814149709,217,1.986195795996793,1.0009795293175239,1.0009795293175239,1.000319140489024
B5,4,1.3376796067819676,4.236696540948332,27.06975673604781,2.073577373629803,3.134528537689259,32.08298809068683,1.9692362357516824,98.46181178758412,216,1.986195795996793,1.008612252779635,1.008612252779635,1.0023924185616766
B5,5,1.2639457007821795,4.142791453809124,26.478353387313494,2.0498849032006152,3.7293413670541735,32.483154407141775,1.9748621242615945,98.74310621307971,215,1.986195795996793,1.0057389686074598,1.0057389686074598,1.0030617285708332
B5,6,1.509147537161231,4.146696396062941,26.4836473979087,2.046433078664786,2.9739163378996336,35.17235863593304,1.9762989295669475,98.81494647834737,214,1.986195795996793,1.0050077780652416,1.0050077780652416,1.0040632841838817
B5,7,1.37481328335597,4.222430023579008,25.97710355597241,1.9707872697374351,3.5490989829317576,33.23022725411302,1.9656976901358376,98.2848845067919,213,1.986195795996793,1.010427903519355,1.010427903519355,1.006153286457843
B5,8,1.4275827958681793,4.1865809576204365,27.246253376971563,1.8904627329018615,3.5183972240366046,34.42750916223592,1.9591594048380931,97.95797024190466,212,1.986195795996793,1.0137999955960368,1.0137999955960368,1.0087173797135456
B5,9,1.5715977250441544,4.186082667455942,28.165409783532816,1.8347594758110328,3.80219844970004,32.18705346689705,1.9575073099467737,97.87536549733868,211,1.986195795996793,1.0146556214141542,1.0146556214141542,1.0099260534404495
B5,10,1.2826320423429969,4.18654272823651,28.467759003156075,1.9664982487356109,3.9017166394587854,33.57466058749246,1.951182097237045,97.55910486185223,210,1.986195795996793,1.0179448647101308,1.0179448647101308,1.0123672326609836
B5,11,1.5159737724141935,4.197220996829981,27.19033071094884,1.9835742714912148,3.726270141200186,28.619731133118187,1.9398114524953776,96.99057262476887,209,1.986195795996793,1.023911779385438,1.023911779385438,1.016148032925023
B5,12,1.5214232772046856,4.204862132365643,28.401882467287145,1.8885074334315264,3.956903970235992,32.63355759555747,1.945833119071689,97.29165595358448,208,1.986195795996793,1.0207431338944215,1.0207431338944215,1.0182110790000363
B5,13,1.3474639605550092,4.167728298937083,24.334585934747157,1.8547183027009544,4.191591826352628,33.50087905745422,1.9383533977456795,96.91766988728398,207,1.986195795996793,1.0246819792029433,1.0246819792029433,1.0203874757214177
B5,14,1.4410438228339402,4.203974049302859,24.252692225425665,1.975348933569705,3.366318625638146,30.69706218598786,1.9339836360923408,96.69918180461704,206,1.986195795996793,1.0269972087302395,1.0269972087302395,1.0228557931846347
B5,15,1.338650898969469,4.177468122177361,27.468265481794823,2.095790834710313,3.931979475432772,35.7622062211527,1.9290872626339564,96.45436313169782,205,1.986195795996793,1.0296039139695845,1.0296039139695845,1.0251876030365252
