battery_id,cycle,chI,chV,chT,disI,disV,disT,BCt,SOH,RUL,dis_energy,SOH_calc,R_internal
B5,1,1.4401469105335598,4.254681794931815,23.988732759361305,1.894406780423648,3.2735225424933536,32.9808341919489,1.986195795996793,99.30978979983963,219,0.0568129984417203,1.0,0.48514445254513267
B5,2,1.4165945775339113,4.159824804449164,25.665347317603665,1.829949497063828,4.038740624421725,32.25792017891891,1.986239707487209,99.31198537436046,218,0.06622453678429029,1.0000221083392202,0.08406945585377591
B5,3,1.420271538173982,4.276322905918238,25.407910461384983,1.9421053549594205,3.214432808014634,35.134800643918496,1.9842521628299412,99.21260814149709,217,0.06092732776955055,0.9990214292212433,0.5036547952289518
B5,4,1.3376796067819676,4.236696540948332,27.06975673604781,2.073577373629803,3.134528537689259,32.08298809068683,1.9692362357516824,98.46181178758412,216,0.05792483198326232,0.9914612847941311,0.5102558306461382
B5,5,1.2639457007821795,4.142791453809124,26.478353387313494,2.0498849032006152,3.7293413670541735,32.483154407141775,1.9748621242615945,98.74310621307971,215,0.06897906627333375,0.9942937792144955,0.2259844516647295
B5,6,1.509147537161231,4.146696396062941,26.4836473979087,2.046433078664786,2.9739163378996336,35.17235863593304,1.9762989295669475,98.81494647834737,214,0.05946005218024661,0.9950171748174108,0.5955079390014886
B5,7,1.37481328335597,4.222430023579008,25.97710355597241,1.9707872697374351,3.5490989829317576,33.23022725411302,1.9656976901358376,98.2848845067919,213,0.06456373862410844,0.9896797154126146,0.3265113946234007
B5,8,1.4275827958681793,4.1865809576204365,27.246253376971563,1.8904627329018615,3.5183972240366046,34.42750916223592,1.9591594048380931,97.95797024190466,212,0.06360863728225881,0.9863878519866006,0.3566249929763443
B5,9,1.5715977250441544,4.186082667455942,28.165409783532816,1.8347594758110328,3.80219844970004,32.18705346689705,1.9575073099467737,97.87536549733868,211,0.06237242657421093,0.9855560634516287,0.212771776533361
B5,10,1.2826320423429969,4.18654272823651,28.467759003156075,1.9664982487356109,3.9017166394587854,33.57466058749246,1.951182097237045,97.55910486185223,210,0.07155803726258894,0.9823714767545483,0.14791106150641292
B5,11,1.5159737724141935,4.197220996829981,27.19033071094884,1.9835742714912148,3.726270141200186,28.619731133118187,1.9398114524953776,96.99057262476887,209,0.058760549943090504,0.9766466409832788,0.2350874118411607
B5,12,1.5214232772046856,4.204862132365643,28.401882467287145,1.8885074334315264,3.956903970235992,32.63355759555747,1.945833119071689,97.29165595358448,208,0.06773858650300134,0.979678399779893,0.12479670901561474
B5,13,1.3474639605550092,4.167728298937083,24.334585934747157,1.8547183027009544,4.191591826352628,33.50087905745422,1.9383533977456795,96.91766988728398,207,0.07234535377604562,0.9759125468156057,0.0005346669225723465
