battery_id,cycle,chI,chV,chT,disI,disV,disT,BCt,SOH,RUL,Capacity_initial,R_internal_raw,R_internal,R_internal_smooth,E_raw,E_monotonic,E_smooth
B5,1,1.44014691053356,4.25468179493182,23.9887327593613,1.89440678042365,3.27352254249335,32.9808341919489,1.98619579599679,99.3097897998396,219,1.98619579599679,1,1,1,0.0568129984417203,0.0568129984417203,0.0568129984417203
B5,2,1.41659457753391,4.15982480444916,25.6653473176037,1.82994949706383,4.03874062442172,32.2579201789189,1.98623970748721,99.3119853743605,218,1.98619579599679,0.999977892149548,0.999977892149548,0.999988946074774,0.0662245367842903,0.0568129984417203,0.0568129984417203
B5,3,1.42027153817398,4.27632290591824,25.407910461385,1.94210535495942,3.21443280801463,35.1348006439185,1.98425216282994,99.2126081414971,217,1.98619579599679,1.00097952931752,1.00097952931752,1.00031914048902,0.0609273277695506,0.0568129984417203,0.0568129984417203
B5,4,1.33767960678197,4.23669654094833,27.0697567360478,2.0735773736298,3.13452853768926,32.0829880906868,1.96923623575168,98.4618117875841,216,1.98619579599679,1.00861225277964,1.00861225277964,1.00239241856168,0.0579248319832623,0.0568129984417203,0.0568129984417203
B5,5,1.26394570078218,4.14279145380912,26.4783533873135,2.04988490320062,3.72934136705417,32.4831544071418,1.97486212426159,98.7431062130797,215,1.98619579599679,1.00573896860746,1.00573896860746,1.00306172857083,0.0689790662733338,0.0568129984417203,0.0568129984417203
B5,6,1.50914753716123,4.14669639606294,26.4836473979087,2.04643307866479,2.97391633789963,35.172358635933,1.97629892956695,98.8149464783474,214,1.98619579599679,1.00500777806524,1.00500777806524,1.00406328418388,0.0594600521802466,0.0568129984417203,0.0568129984417203
B5,7,1.37481328335597,4.22243002357901,25.9771035559724,1.97078726973744,3.54909898293176,33.230227254113,1.96569769013584,98.2848845067919,213,1.98619579599679,1.01042790351936,1.01042790351936,1.00615328645784,0.0645637386241084,0.0568129984417203,0.0568129984417203
B5,8,1.42758279586818,4.18658095762044,27.2462533769716,1.89046273290186,3.5183972240366,34.4275091622359,1.95915940483809,97.9579702419047,212,1.98619579599679,1.01379999559604,1.01379999559604,1.00871737971355,0.0636086372822588,0.0568129984417203,0.0568129984417203
B5,9,1.57159772504415,4.18608266745594,28.1654097835328,1.83475947581103,3.80219844970004,32.187053466897,1.95750730994677,97.8753654973387,211,1.98619579599679,1.01465562141415,1.01465562141415,1.00992605344045,0.0623724265742109,0.0568129984417203,0.0568129984417203
B5,10,1.282632042343,4.18654272823651,28.4677590031561,1.96649824873561,3.90171663945879,33.5746605874925,1.95118209723705,97.5591048618522,210,1.98619579599679,1.01794486471013,1.01794486471013,1.01236723266098,0.0715580372625889,0.0568129984417203,0.0568129984417203
